epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2941.51,0.11247,1.73034,0.95184,0.90545,0.7071,0.75731,0.75688,0.15303,0.32212,0.22785,0.00333298,0.00333298,0.00333298
2,5328.43,0.07697,0.4159,0.91576,0.91829,0.83287,0.86877,0.86768,0.17675,0.25952,0.25694,0.00600635,0.00600635,0.00600635
3,7701.96,0.07167,0.29311,0.91423,0.85218,0.94237,0.89512,0.89309,0.15144,0.2127,0.21271,0.00801972,0.00801972,0.00801972
4,10069.1,0.05765,0.22429,0.90792,0.88559,0.91016,0.91249,0.9052,0.1715,0.21895,0.23946,0.00703,0.00703,0.00703
5,12434.4,inf,0.15805,0.90449,0.88401,0.94781,0.92658,0.92271,0.17321,0.22575,0.24391,0.00604,0.00604,0.00604
6,14797.1,0.03831,0.12164,0.90129,0.87417,0.96256,0.93613,0.93302,0.19782,0.2684,0.27505,0.00505,0.00505,0.00505
7,17155.7,inf,0.09845,0.89976,0.88584,0.96674,0.94859,0.9474,0.21523,0.28716,0.29656,0.00406,0.00406,0.00406
8,19516.7,0.02849,0.07655,0.89933,0.90053,0.97195,0.96293,0.96161,0.2169,0.29598,0.29852,0.00307,0.00307,0.00307
9,21878.8,inf,0.05843,0.89763,0.9061,0.97766,0.97268,0.97259,0.21376,0.29931,0.29376,0.00208,0.00208,0.00208
10,24243.9,inf,0.04316,0.89626,0.92382,0.98687,0.9772,0.97713,0.20815,0.30786,0.28519,0.00109,0.00109,0.00109
